村里代碼,村里,選舉人,里長政黨,投票所數量,平均
65000130-040,新北市土城區延和里,5466,無,4,1367
65000140-004,新北市蘆洲區光華里,4350,中國國民黨,3,1450
65000140-029,新北市蘆洲區光明里,4039,民主進步黨,3,1346
65000140-003,新北市蘆洲區中路里,3352,無,2,1676
65000140-035,新北市蘆洲區永安里,4355,無,3,1452
65000140-024,新北市蘆洲區九芎里,4487,民主進步黨,3,1496
65000140-036,新北市蘆洲區延平里,3474,民主進步黨,2,1737
65000140-025,新北市蘆洲區中華里,2839,民主進步黨,2,1420
65000140-002,新北市蘆洲區中原里,4507,民主進步黨,3,1502
65000140-031,新北市蘆洲區長安里,4285,民主進步黨,3,1428
65000140-023,新北市蘆洲區忠義里,2690,民主進步黨,2,1345
65000140-001,新北市蘆洲區正義里,8958,無,6,1493
65000140-015,新北市蘆洲區南港里,4760,無,3,1587
65000140-016,新北市蘆洲區永樂里,5133,無,3,1711
65000140-037,新北市蘆洲區成功里,6107,無,4,1527
65000140-017,新北市蘆洲區永康里,5528,民主進步黨,4,1382
65000140-038,新北市蘆洲區永德里,3745,無,2,1873
65000140-007,新北市蘆洲區樓厝里,5290,無,3,1763
65000140-018,新北市蘆洲區信義里,3505,無,2,1753
65000140-019,新北市蘆洲區玉清里,4747,無,3,1582
65000140-020,新北市蘆洲區復興里,2975,無,2,1488
65000140-034,新北市蘆洲區福安里,2734,無,2,1367
65000140-008,新北市蘆洲區鷺江里,4609,無,3,1536
65000140-009,新北市蘆洲區恆德里,5262,無,3,1754
65000140-010,新北市蘆洲區溪墘里,2801,民主進步黨,2,1401
65000140-013,新北市蘆洲區仁復里,1860,無,1,1860
65000140-027,新北市蘆洲區仁德里,4762,無,3,1587
65000140-028,新北市蘆洲區仁義里,4580,無,2,2290
65000140-014,新北市蘆洲區得勝里,2911,無,2,1456
65000140-026,新北市蘆洲區得仁里,2659,無,2,1330
65000140-012,新北市蘆洲區保和里,2284,無,2,1142
65000140-011,新北市蘆洲區樹德里,2923,無,2,1462
65000140-032,新北市蘆洲區民和里,2405,中國國民黨,2,1203
65000140-006,新北市蘆洲區水湳里,8493,無,5,1699
65000140-021,新北市蘆洲區水河里,7722,無,5,1544
65000140-022,新北市蘆洲區仁愛里,4460,無,3,1487
65000140-033,新北市蘆洲區忠孝里,2127,無,2,1064
65000140-005,新北市蘆洲區保佑里,3206,無,2,1603
65000140-030,新北市蘆洲區保新里,2339,無,2,1170
65000150-001,新北市五股區興珍里,4244,無,3,1415
65000150-002,新北市五股區更寮里,1082,無,1,1082
65000150-004,新北市五股區觀音里,1267,無,1,1267
65000150-003,新北市五股區集福里,3240,無,3,1080
65000150-016,新北市五股區集賢里,3173,無,2,1587
65000150-014,新北市五股區成德里,2489,無,2,1245
65000150-005,新北市五股區成州里,4903,無,3,1634
65000150-006,新北市五股區成功里,4641,無,3,1547
65000150-018,新北市五股區成泰里,5210,無,3,1737
65000150-007,新北市五股區五龍里,1263,無,1,1263
65000150-009,新北市五股區五福里,3049,無,2,1525
65000150-015,新北市五股區六福里,3125,中國國民黨,2,1563
65000150-017,新北市五股區民義里,2851,中國國民黨,2,1426
65000150-008,新北市五股區五股里,3725,無,3,1242
65000150-010,新北市五股區德音里,4291,無,3,1430
65000150-019,新北市五股區水碓里,6409,無,4,1602
65000150-020,新北市五股區福德里,2572,中國國民黨,2,1286
65000150-013,新北市五股區德泰里,3624,無,3,1208
65000150-012,新北市五股區貿商里,2518,中國國民黨,2,1259
65000150-011,新北市五股區陸一里,2056,中國國民黨,2,1028
65000160-001,新北市泰山區大科里,785,無,2,393
65000160-002,新北市泰山區黎明里,2919,無,2,1460
65000160-003,新北市泰山區山腳里,5645,無,4,1411
65000160-004,新北市泰山區福泰里,2425,無,2,1213
65000160-016,新北市泰山區福興里,3048,中國國民黨,2,1524
65000160-005,新北市泰山區楓樹里,3721,無,3,1240
65000160-006,新北市泰山區同榮里,3480,無,3,1160
65000160-011,新北市泰山區同興里,3127,無,2,1564
65000160-017,新北市泰山區全興里,6869,無,5,1374
65000160-007,新北市泰山區義學里,3779,無,3,1260
65000160-012,新北市泰山區義仁里,6637,無,4,1659
65000160-008,新北市泰山區明志里,3209,無,3,1070
65000160-013,新北市泰山區泰友里,1942,無,2,971
65000160-014,新北市泰山區新明里,2885,無,2,1443
65000160-009,新北市泰山區貴子里,3302,無,3,1101
65000160-015,新北市泰山區貴賢里,3222,中國國民黨,2,1611
65000160-010,新北市泰山區貴和里,4200,無,3,1400
65000170-001,新北市林口區東林里,3574,無,3,1191
65000170-002,新北市林口區林口里,4571,中國國民黨,3,1524
65000170-003,新北市林口區西林里,7341,中國國民黨,5,1468
65000170-004,新北市林口區菁湖里,3705,無,3,1235
65000170-005,新北市林口區中湖里,3059,中國國民黨,2,1530
65000170-006,新北市林口區湖北里,1348,無,1,1348
65000170-007,新北市林口區湖南里,13987,中國國民黨,9,1554
65000170-008,新北市林口區南勢里,12143,中國國民黨,7,1735
65000170-015,新北市林口區仁愛里,5186,無,3,1729
65000170-016,新北市林口區麗林里,6615,中國國民黨,4,1654
65000170-009,新北市林口區東勢里,5109,無,3,1703
65000170-017,新北市林口區麗園里,3439,中國國民黨,2,1720
65000170-010,新北市林口區頂福里,1016,無,1,1016
65000170-011,新北市林口區下福里,1172,中國國民黨,1,1172
65000170-012,新北市林口區嘉寶里,855,無,1,855
65000170-013,新北市林口區瑞平里,785,中國國民黨,1,785
65000170-014,新北市林口區太平里,1303,無,1,1303
65000180-002,新北市深坑區萬順里,2170,無,2,1085
65000180-007,新北市深坑區萬福里,2336,中國國民黨,2,1168
65000180-003,新北市深坑區土庫里,2622,中國國民黨,2,1311
65000180-001,新北市深坑區深坑里,2858,無,2,1429
65000180-006,新北市深坑區埔新里,5158,無,3,1719
65000180-004,新北市深坑區昇高里,1904,中國國民黨,2,952
65000180-008,新北市深坑區賴仲里,1906,無,2,953
65000180-005,新北市深坑區阿柔里,525,無,1,525
65000190-001,新北市石碇區石碇里,398,中國國民黨,1,398
65000190-002,新北市石碇區潭邊里,754,中國國民黨,1,754
65000190-004,新北市石碇區烏塗里,697,無,1,697
65000190-005,新北市石碇區彭山里,311,無,1,311
65000190-006,新北市石碇區豐田里,385,無,2,193
65000190-003,新北市石碇區隆盛里,675,無,1,675
65000190-010,新北市石碇區豐林里,268,無,1,268
65000190-008,新北市石碇區中民里,707,無,1,707
65000190-007,新北市石碇區永定里,564,無,1,564
65000190-009,新北市石碇區光明里,240,無,1,240
65000190-011,新北市石碇區永安里,704,無,1,704
65000190-012,新北市石碇區格頭里,868,無,1,868
65000200-002,新北市坪林區坪林里,1140,無,1,1140
65000200-006,新北市坪林區水德里,591,無,1,591
65000200-003,新北市坪林區大林里,1070,無,1,1070
65000200-004,新北市坪林區石𥕢里,405,無,1,405
65000200-001,新北市坪林區粗窟里,812,無,2,406
65000200-005,新北市坪林區上德里,753,無,2,377
65000200-007,新北市坪林區漁光里,801,無,2,401
65000210-001,新北市三芝區八賢里,321,無,1,321
65000210-002,新北市三芝區埔頭里,4430,無,3,1477
65000210-003,新北市三芝區古庄里,977,無,1,977
65000210-004,新北市三芝區新庄里,822,無,1,822
65000210-005,新北市三芝區埔坪里,5970,中國國民黨,4,1493
65000210-006,新北市三芝區茂長里,595,無,1,595
65000210-007,新北市三芝區橫山里,507,無,1,507
65000210-008,新北市三芝區錫板里,717,無,1,717
65000210-009,新北市三芝區後厝里,2013,中國國民黨,1,2013
65000210-010,新北市三芝區福德里,765,中國國民黨,1,765
65000210-011,新北市三芝區圓山里,528,無,1,528
65000210-012,新北市三芝區店子里,604,無,1,604
65000210-013,新北市三芝區興華里,1150,無,1,1150
65000220-001,新北市石門區德茂里,1103,無,1,1103
65000220-002,新北市石門區富基里,1354,無,1,1354
65000220-003,新北市石門區老梅里,2117,中國國民黨,2,1059
65000220-004,新北市石門區山溪里,852,無,1,852
65000220-005,新北市石門區石門里,1486,無,1,1486
65000220-006,新北市石門區尖鹿里,1465,無,1,1465
65000220-007,新北市石門區乾華里,337,中國國民黨,1,337
65000220-008,新北市石門區茂林里,661,無,1,661
65000220-009,新北市石門區草里里,901,中國國民黨,1,901
65000230-001,新北市八里區龍源里,6129,無,3,2043
65000230-002,新北市八里區米倉里,2993,無,2,1497
65000230-003,新北市八里區大崁里,2391,中國國民黨,1,2391
65000230-004,新北市八里區埤頭里,3259,無,2,1630
65000230-005,新北市八里區頂罟里,1626,無,1,1626
65000230-006,新北市八里區舊城里,5922,無,4,1481
65000230-007,新北市八里區訊塘里,3713,中國國民黨,2,1857
65000230-008,新北市八里區荖阡里,1554,無,1,1554
65000230-009,新北市八里區長坑里,1378,無,1,1378
65000230-010,新北市八里區下罟里,1335,無,1,1335
65000240-001,新北市平溪區薯榔里,402,無,1,402
65000240-002,新北市平溪區菁桐里,257,無,1,257
65000240-003,新北市平溪區白石里,250,無,1,250
65000240-004,新北市平溪區石底里,453,無,1,453
65000240-005,新北市平溪區平溪里,240,中國國民黨,1,240
65000240-006,新北市平溪區嶺腳里,651,無,1,651
65000240-007,新北市平溪區東勢里,436,無,1,436
65000240-011,新北市平溪區十分里,840,無,1,840
65000240-008,新北市平溪區望古里,154,無,1,154
65000240-009,新北市平溪區南山里,381,無,1,381
65000240-012,新北市平溪區新寮里,157,無,1,157
65000240-010,新北市平溪區平湖里,168,無,1,168
65000250-001,新北市雙溪區雙溪里,460,無,1,460
65000250-003,新北市雙溪區新基里,789,無,2,395
65000250-005,新北市雙溪區三港里,425,無,1,425
65000250-006,新北市雙溪區牡丹里,1631,無,2,816
65000250-007,新北市雙溪區三貂里,334,無,1,334
65000250-008,新北市雙溪區平林里,936,中國國民黨,2,468
65000250-009,新北市雙溪區上林里,633,無,1,633
65000250-010,新北市雙溪區外柑里,439,中國國民黨,1,439
65000250-011,新北市雙溪區長源里,369,無,1,369
65000250-002,新北市雙溪區共和里,403,無,2,202
65000250-004,新北市雙溪區魚行里,705,無,2,353
65000250-012,新北市雙溪區泰平里,914,無,2,457
65000260-001,新北市貢寮區貢寮里,867,無,1,867
65000260-004,新北市貢寮區龍崗里,416,無,1,416
65000260-002,新北市貢寮區吉林里,469,無,1,469
65000260-003,新北市貢寮區雙玉里,728,無,2,364
65000260-009,新北市貢寮區福連里,909,無,2,455
65000260-006,新北市貢寮區福隆里,1654,無,2,827
65000260-005,新北市貢寮區龍門里,677,民主進步黨,1,677
65000260-008,新北市貢寮區真理里,2062,民主進步黨,2,1031
65000260-007,新北市貢寮區仁里里,1678,中國國民黨,2,839
65000260-010,新北市貢寮區美豐里,746,無,2,373
65000260-011,新北市貢寮區和美里,1003,無,2,502
65000270-001,新北市金山區和平里,472,無,1,472
65000270-002,新北市金山區大同里,706,無,1,706
65000270-003,新北市金山區豐漁里,492,無,1,492
65000270-004,新北市金山區磺港里,1703,無,1,1703
65000270-005,新北市金山區美田里,3573,無,2,1787
65000270-015,新北市金山區金美里,4760,無,3,1587
65000270-006,新北市金山區五湖里,1645,無,2,823
65000270-007,新北市金山區重和里,1197,無,1,1197
65000270-008,新北市金山區兩湖里,363,無,1,363
65000270-009,新北市金山區六股里,631,無,1,631
65000270-010,新北市金山區三界里,644,無,1,644
65000270-011,新北市金山區清泉里,801,無,1,801
65000270-013,新北市金山區西湖里,186,無,1,186
65000270-012,新北市金山區萬壽里,443,無,1,443
65000270-014,新北市金山區永興里,583,無,1,583
65000280-001,新北市萬里區萬里里,4143,中國國民黨,3,1381
65000280-010,新北市萬里區北基里,2859,中國國民黨,2,1430
65000280-002,新北市萬里區龜吼里,2394,中國國民黨,2,1197
65000280-003,新北市萬里區野柳里,3117,無,2,1559
65000280-004,新北市萬里區大鵬里,2635,無,2,1318
65000280-005,新北市萬里區磺潭里,549,中國國民黨,1,549
65000280-006,新北市萬里區雙興里,959,中國國民黨,1,959
65000280-007,新北市萬里區溪底里,677,無,1,677
65000280-008,新北市萬里區崁脚里,415,無,1,415
65000280-009,新北市萬里區中幅里,1038,無,1,1038
65000290-002,新北市烏來區忠治里,1444,無,1,1444
65000290-001,新北市烏來區烏來里,2172,無,2,1086
65000290-005,新北市烏來區孝義里,223,無,1,223
65000290-004,新北市烏來區信賢里,483,中國國民黨,1,483
65000290-003,新北市烏來區福山里,542,無,1,542
66000010-003,臺中市中區綠川里,1643,民主進步黨,2,822
66000010-001,臺中市中區繼光里,1482,中國國民黨,1,1482
66000010-004,臺中市中區公園里,1503,無,1,1503
66000010-005,臺中市中區光復里,2007,中國國民黨,2,1004
66000010-002,臺中市中區大墩里,2090,中國國民黨,2,1045
66000010-006,臺中市中區柳川里,1815,中國國民黨,2,908
66000010-007,臺中市中區大誠里,2163,中國國民黨,2,1082
66000010-008,臺中市中區中華里,1741,中國國民黨,1,1741
66000020-001,臺中市東區新庄里,2986,民主進步黨,3,995
66000020-002,臺中市東區振興里,3110,無,3,1037
66000020-003,臺中市東區東橋里,3483,無,3,1161
66000020-004,臺中市東區東興里,2761,中國國民黨,2,1381
66000020-006,臺中市東區泉源里,1665,民主進步黨,2,833
66000020-005,臺中市東區干城里,2309,民主進步黨,2,1155
66000020-007,臺中市東區旱溪里,2387,無,2,1194
66000020-008,臺中市東區樂成里,2030,中國國民黨,2,1015
66000020-009,臺中市東區東門里,5876,民主進步黨,4,1469
66000020-010,臺中市東區十甲里,4113,中國國民黨,3,1371
66000020-017,臺中市東區東英里,6168,無,4,1542
66000020-011,臺中市東區東南里,3588,中國國民黨,3,1196
66000020-012,臺中市東區東勢里,2605,中國國民黨,2,1303
66000020-013,臺中市東區合作里,3951,中國國民黨,3,1317
66000020-015,臺中市東區富仁里,4013,中國國民黨,3,1338
66000020-014,臺中市東區富台里,1685,中國國民黨,2,843
66000020-016,臺中市東區東信里,8210,無,5,1642
66000030-015,臺中市南區長春里,1938,中國國民黨,2,969
66000030-016,臺中市南區長榮里,2443,無,2,1222
66000030-001,臺中市南區城隍里,3493,無,2,1747
66000030-002,臺中市南區國光里,3778,民主進步黨,2,1889
66000030-003,臺中市南區南門里,3390,無,2,1695
66000030-004,臺中市南區德義里,2693,無,2,1347
66000030-005,臺中市南區積善里,2526,無,2,1263
66000030-006,臺中市南區江川里,2667,無,2,1334
66000030-007,臺中市南區新榮里,3983,無,2,1992
66000030-008,臺中市南區福興里,3594,無,2,1797
66000030-009,臺中市南區福平里,4905,中國國民黨,3,1635
66000030-017,臺中市南區福順里,4882,無,3,1627
66000030-010,臺中市南區和平里,3548,中國國民黨,2,1774
66000030-018,臺中市南區平和里,3439,中國國民黨,2,1720
66000030-019,臺中市南區南和里,6285,無,3,2095
66000030-011,臺中市南區永興里,6663,中國國民黨,4,1666
66000030-020,臺中市南區永和里,4165,中國國民黨,2,2083
66000030-012,臺中市南區樹義里,9187,無,5,1837
66000030-021,臺中市南區工學里,5650,無,3,1883
66000030-013,臺中市南區樹德里,7064,無,5,1413
66000030-014,臺中市南區西川里,3896,無,2,1948
66000030-022,臺中市南區崇倫里,4935,民主進步黨,3,1645
66000040-003,臺中市西區三民里,2142,中國國民黨,2,1071
66000040-006,臺中市西區平和里,1889,中國國民黨,2,945
66000040-002,臺中市西區利民里,1398,中國國民黨,1,1398
66000040-007,臺中市西區公民里,4443,中國國民黨,3,1481
66000040-005,臺中市西區廣民里,1508,無,1,1508
66000040-004,臺中市西區東昇里,2203,無,2,1102
66000040-001,臺中市西區民生里,1806,中國國民黨,2,903
66000040-008,臺中市西區藍興里,3763,無,3,1254
66000040-009,臺中市西區公舘里,5246,無,4,1312
66000040-010,臺中市西區和龍里,2252,民主進步黨,2,1126
66000040-011,臺中市西區民龍里,3088,中國國民黨,2,1544
66000040-013,臺中市西區安龍里,2755,中國國民黨,2,1378
66000040-014,臺中市西區吉龍里,6235,民主進步黨,4,1559
66000040-012,臺中市西區後龍里,3294,中國國民黨,2,1647
66000040-018,臺中市西區土庫里,5313,中國國民黨,3,1771
66000040-025,臺中市西區大忠里,4012,中國國民黨,3,1337
66000040-024,臺中市西區双龍里,2743,中國國民黨,2,1372
66000040-015,臺中市西區昇平里,5422,民主進步黨,4,1356
66000040-021,臺中市西區中興里,3529,民主進步黨,2,1765
66000040-016,臺中市西區忠明里,5445,無,3,1815
66000040-017,臺中市西區公正里,5665,中國國民黨,4,1416
66000040-022,臺中市西區公平里,4550,中國國民黨,3,1517
66000040-023,臺中市西區公德里,3959,中國國民黨,3,1320
66000040-020,臺中市西區公益里,2712,中國國民黨,2,1356
66000040-019,臺中市西區忠誠里,5561,民主進步黨,4,1390
66000050-026,臺中市北區中正里,1463,無,1,1463
66000050-027,臺中市北區六合里,1718,民主進步黨,1,1718
66000050-001,臺中市北區光大里,1996,中國國民黨,2,998
66000050-002,臺中市北區文莊里,3317,中國國民黨,3,1106
66000050-028,臺中市北區大湖里,2172,民主進步黨,2,1086
66000050-003,臺中市北區五常里,1285,無,1,1285
66000050-029,臺中市北區錦平里,1888,民主進步黨,2,944
66000050-005,臺中市北區新北里,1748,中國國民黨,2,874
66000050-004,臺中市北區新興里,1533,中國國民黨,2,767
66000050-006,臺中市北區樂英里,2700,中國國民黨,2,1350
66000050-007,臺中市北區錦村里,3077,中國國民黨,2,1539
66000050-008,臺中市北區建成里,5093,無,3,1698
66000050-030,臺中市北區建德里,3308,無,2,1654
66000050-009,臺中市北區錦洲里,3144,無,2,1572
66000050-020,臺中市北區錦祥里,3424,中國國民黨,2,1712
66000050-010,臺中市北區金華里,2252,無,2,1126
66000050-011,臺中市北區金龍里,4238,無,3,1413
66000050-012,臺中市北區邱厝里,2048,無,2,1024
66000050-013,臺中市北區建興里,5518,無,5,1104
66000050-014,臺中市北區頂厝里,3894,中國國民黨,3,1298
66000050-031,臺中市北區崇德里,3300,無,2,1650
66000050-015,臺中市北區賴厝里,4859,中國國民黨,3,1620
66000050-036,臺中市北區賴福里,3536,中國國民黨,2,1768
66000050-025,臺中市北區賴興里,3619,無,3,1206
66000050-032,臺中市北區賴旺里,4158,無,3,1386
66000050-024,臺中市北區賴明里,3570,中國國民黨,3,1190
66000050-035,臺中市北區梅川里,2872,中國國民黨,2,1436
66000050-016,臺中市北區賴村里,4314,無,3,1438
66000050-017,臺中市北區育德里,3377,無,2,1689
66000050-018,臺中市北區淡溝里,4638,中國國民黨,3,1546
66000050-021,臺中市北區健行里,5992,中國國民黨,4,1498
66000050-022,臺中市北區明德里,5029,中國國民黨,3,1676
66000050-033,臺中市北區明新里,2659,無,2,1330
66000050-023,臺中市北區長青里,5718,中國國民黨,4,1430
66000050-034,臺中市北區立人里,3349,中國國民黨,2,1675
66000050-019,臺中市北區中達里,2517,中國國民黨,2,1259
66000060-001,臺中市西屯區西安里,4419,無,3,1473
66000060-026,臺中市西屯區至善里,3899,中國國民黨,3,1300
66000060-024,臺中市西屯區西平里,4688,中國國民黨,3,1563
66000060-002,臺中市西屯區西墩里,4269,無,3,1423
66000060-003,臺中市西屯區潮洋里,4708,中國國民黨,3,1569
66000060-004,臺中市西屯區龍潭里,810,無,1,810
66000060-005,臺中市西屯區惠來里,11034,無,7,1576
66000060-006,臺中市西屯區上石里,4366,無,3,1455
66000060-027,臺中市西屯區上安里,4466,無,3,1489
66000060-028,臺中市西屯區上德里,3907,無,3,1302
66000060-007,臺中市西屯區逢甲里,3997,中國國民黨,3,1332
66000060-029,臺中市西屯區逢福里,4927,無,3,1642
66000060-008,臺中市西屯區鵬程里,2680,中國國民黨,2,1340
66000060-010,臺中市西屯區何厝里,3001,無,2,1501
66000060-030,臺中市西屯區何明里,3537,無,3,1179
66000060-025,臺中市西屯區何南里,3979,無,3,1326
66000060-031,臺中市西屯區何成里,6608,中國國民黨,4,1652
66000060-009,臺中市西屯區何安里,4811,無,3,1604
66000060-021,臺中市西屯區何仁里,5854,中國國民黨,4,1464
66000060-022,臺中市西屯區何德里,3441,無,2,1721
66000060-032,臺中市西屯區何福里,4139,民主進步黨,3,1380
66000060-023,臺中市西屯區何源里,6229,中國國民黨,4,1557
66000060-011,臺中市西屯區大河里,3621,民主進步黨,2,1811
66000060-012,臺中市西屯區大石里,2178,中國國民黨,2,1089
66000060-013,臺中市西屯區大福里,3088,中國國民黨,2,1544
66000060-014,臺中市西屯區大鵬里,4481,中國國民黨,3,1494
66000060-015,臺中市西屯區港尾里,4481,中國國民黨,3,1494
66000060-016,臺中市西屯區廣福里,2307,民主進步黨,2,1154
66000060-017,臺中市西屯區林厝里,3116,中國國民黨,2,1558
66000060-018,臺中市西屯區永安里,11146,中國國民黨,7,1592
66000060-019,臺中市西屯區福安里,2421,無,2,1211
66000060-039,臺中市西屯區福雅里,5056,中國國民黨,3,1685
66000060-038,臺中市西屯區福林里,6442,中國國民黨,4,1611
66000060-037,臺中市西屯區福瑞里,2669,中國國民黨,2,1335
66000060-036,臺中市西屯區福聯里,2724,中國國民黨,2,1362
66000060-033,臺中市西屯區福和里,3897,民主進步黨,3,1299
66000060-034,臺中市西屯區福中里,3004,中國國民黨,2,1502
66000060-035,臺中市西屯區福恩里,4239,無,2,2120
66000060-020,臺中市西屯區協和里,4101,無,4,1025
66000070-001,臺中市南屯區南屯里,7766,無,6,1294
66000070-002,臺中市南屯區豐樂里,9652,無,8,1207
66000070-003,臺中市南屯區楓樹里,5200,無,4,1300
66000070-004,臺中市南屯區中和里,4311,無,3,1437
66000070-014,臺中市南屯區鎮平里,1481,無,2,741
66000070-005,臺中市南屯區春社里,5957,中國國民黨,5,1191
66000070-006,臺中市南屯區春安里,719,中國國民黨,1,719
66000070-007,臺中市南屯區文山里,8202,無,5,1640
66000070-023,臺中市南屯區寶山里,4622,中國國民黨,4,1156
66000070-008,臺中市南屯區新生里,959,無,1,959
66000070-009,臺中市南屯區永定里,4365,無,3,1455
66000070-010,臺中市南屯區三厝里,5800,民主進步黨,5,1160
66000070-025,臺中市南屯區三義里,5587,中國國民黨,5,1117
66000070-024,臺中市南屯區三和里,7052,中國國民黨,6,1175
66000070-013,臺中市南屯區黎明里,4157,中國國民黨,4,1039
66000070-011,臺中市南屯區溝墘里,4632,中國國民黨,4,1158
66000070-021,臺中市南屯區大業里,5938,中國國民黨,4,1485
66000070-022,臺中市南屯區惠中里,6272,無,5,1254
66000070-012,臺中市南屯區田心里,5581,無,4,1395
66000070-018,臺中市南屯區向心里,4570,無,3,1523
66000070-016,臺中市南屯區文心里,3319,中國國民黨,3,1106
66000070-017,臺中市南屯區同心里,4744,無,4,1186
66000070-015,臺中市南屯區大同里,4431,無,4,1108
66000070-020,臺中市南屯區大興里,3824,無,3,1275
66000070-019,臺中市南屯區大誠里,3213,中國國民黨,3,1071
66000080-002,臺中市北屯區北屯里,3205,無,2,1603
66000080-034,臺中市北屯區北京里,3096,無,2,1548
66000080-001,臺中市北屯區北興里,3154,無,2,1577
66000080-003,臺中市北屯區三光里,6557,中國國民黨,4,1639
66000080-041,臺中市北屯區三和里,5478,中國國民黨,4,1370
66000080-006,臺中市北屯區東光里,4322,中國國民黨,3,1441
66000080-008,臺中市北屯區水景里,11999,無,7,1714
66000080-009,臺中市北屯區軍功里,10306,無,7,1472
66000080-010,臺中市北屯區和平里,7803,無,5,1561
66000080-013,臺中市北屯區廍子里,5320,無,3,1773
66000080-012,臺中市北屯區民政里,966,無,1,966
66000080-011,臺中市北屯區東山里,1945,民主進步黨,1,1945
66000080-014,臺中市北屯區大坑里,2019,無,1,2019
66000080-015,臺中市北屯區民德里,901,無,1,901
66000080-007,臺中市北屯區舊社里,5626,中國國民黨,5,1125
66000080-030,臺中市北屯區松茂里,4874,無,3,1625
66000080-032,臺中市北屯區松強里,5639,中國國民黨,4,1410
66000080-033,臺中市北屯區松勇里,4826,中國國民黨,3,1609
66000080-029,臺中市北屯區松安里,4506,中國國民黨,3,1502
66000080-037,臺中市北屯區松和里,6047,中國國民黨,4,1512
66000080-016,臺中市北屯區松竹里,7549,中國國民黨,5,1510
66000080-039,臺中市北屯區平興里,5888,無,4,1472
66000080-004,臺中市北屯區平田里,5191,無,3,1730
66000080-040,臺中市北屯區平昌里,4168,中國國民黨,3,1389
66000080-026,臺中市北屯區平安里,5004,無,3,1668
66000080-027,臺中市北屯區平順里,2959,無,2,1480
66000080-035,臺中市北屯區平心里,4453,無,3,1484
66000080-036,臺中市北屯區平福里,3420,無,2,1710
66000080-028,臺中市北屯區平德里,5801,無,3,1934
66000080-005,臺中市北屯區平和里,4760,無,3,1587
66000080-038,臺中市北屯區平陽里,4517,無,3,1506
66000080-017,臺中市北屯區仁和里,8171,無,4,2043
66000080-022,臺中市北屯區仁愛里,1103,中國國民黨,1,1103
66000080-018,臺中市北屯區仁美里,6752,無,4,1688
66000080-019,臺中市北屯區四民里,1537,中國國民黨,1,1537
66000080-021,臺中市北屯區同榮里,4971,中國國民黨,3,1657
66000080-020,臺中市北屯區后庄里,8742,中國國民黨,5,1748
66000080-025,臺中市北屯區新平里,4075,中國國民黨,3,1358
66000080-024,臺中市北屯區陳平里,4224,無,3,1408
66000080-042,臺中市北屯區忠平里,3718,中國國民黨,2,1859
66000080-031,臺中市北屯區大德里,4709,中國國民黨,3,1570
66000080-023,臺中市北屯區水湳里,6081,中國國民黨,4,1520
66000090-001,臺中市豐原區豐原里,2141,無,2,1071
66000090-004,臺中市豐原區豐榮里,1098,無,1,1098
66000090-002,臺中市豐原區頂街里,895,民主進步黨,1,895
66000090-003,臺中市豐原區中山里,818,無,1,818
66000090-005,臺中市豐原區下街里,754,無,1,754
66000090-028,臺中市豐原區中陽里,4958,無,3,1653
66000090-013,臺中市豐原區大湳里,2430,無,2,1215
66000090-014,臺中市豐原區北湳里,2843,無,2,1422
66000090-015,臺中市豐原區東湳里,3959,無,3,1320
66000090-016,臺中市豐原區西湳里,8107,民主進步黨,5,1621
66000090-008,臺中市豐原區豐西里,1614,無,1,1614
66000090-017,臺中市豐原區圳寮里,1184,無,1,1184
66000090-018,臺中市豐原區豐圳里,3175,中國國民黨,2,1588
66000090-006,臺中市豐原區富春里,760,無,1,760
66000090-007,臺中市豐原區葫蘆里,640,民主進步黨,1,640
66000090-009,臺中市豐原區西安里,4912,無,3,1637
66000090-010,臺中市豐原區西勢里,2042,無,2,1021
66000090-021,臺中市豐原區中興里,2781,無,2,1391
66000090-019,臺中市豐原區社皮里,9234,中國國民黨,5,1847
66000090-020,臺中市豐原區三村里,5907,無,4,1477
66000090-011,臺中市豐原區東勢里,1447,無,1,1447
66000090-012,臺中市豐原區民生里,1120,中國國民黨,1,1120
66000090-022,臺中市豐原區田心里,6009,無,3,2003
66000090-023,臺中市豐原區豐田里,9568,中國國民黨,5,1914
66000090-024,臺中市豐原區鎌村里,4447,無,3,1482
66000090-026,臺中市豐原區陽明里,2601,無,2,1301
66000090-025,臺中市豐原區南陽里,9421,無,5,1884
66000090-027,臺中市豐原區北陽里,12170,無,7,1739
66000090-029,臺中市豐原區東陽里,1549,無,1,1549
66000090-030,臺中市豐原區南村里,4959,民主進步黨,3,1653
66000090-031,臺中市豐原區南田里,3107,中國國民黨,2,1554
66000090-032,臺中市豐原區南嵩里,3129,無,2,1565
66000090-033,臺中市豐原區翁明里,2017,無,1,2017
66000090-034,臺中市豐原區翁子里,2746,無,2,1373
66000090-035,臺中市豐原區翁社里,2001,中國國民黨,2,1001
66000090-036,臺中市豐原區朴子里,3188,無,3,1063
66000100-001,臺中市東勢區北興里,1294,無,1,1294
66000100-002,臺中市東勢區中寧里,815,無,1,815
66000100-003,臺中市東勢區東安里,1037,無,1,1037
66000100-004,臺中市東勢區南平里,1832,無,2,916
66000100-005,臺中市東勢區延平里,2262,無,2,1131
66000100-006,臺中市東勢區上新里,954,中國國民黨,1,954
66000100-007,臺中市東勢區廣興里,1374,中國國民黨,1,1374
66000100-008,臺中市東勢區泰昌里,3343,中國國民黨,3,1114
